Category,Sub-Category,Entity,Affiliation,Key Work,SD Relevance/Notes,Initial Priority,Rating,Status,Detailed Notes,Link,Markdown_Path
Academic,AI Energy Demand,Alex de Vries,VU Amsterdam,"Growing energy footprint of artificial intelligence (Joule, 2023)",Bottom-up GPU power consumption modeling; 85-134 TWh/yr by 2027,High,,To Read,,https://doi.org/10.1016/j.joule.2023.09.004,
Academic,AI Energy Demand,Shaolei Ren,UC Riverside,Making AI Less Thirsty (2023),Water footprint of AI; GPT-3 training consumed ~700k liters,High,,To Read,,https://arxiv.org/abs/2304.03271,research/papers/shaolei_ren_water.md
Academic,AI Energy Demand,Jonathan Koomey,Independent (ex-LBNL),Growth in Data Center Electricity Use 2005 to 2010,Efficiency gains historically offset demand; 'don't panic' voice,Medium,,To Read,,,
Academic,AI Energy Demand,Eric Masanet,UC Santa Barbara,"Recalibrating global data center energy-use estimates (Science, 2020)",Argued DC energy grew only ~6% from 2010-2018,Medium,,To Read,,,
Academic,AI Energy Demand,Arman Shehabi,LBNL,US Data Center Energy Usage Report,Lead author on DOE DC reports,Medium,,To Read,,,
Academic,AI Energy Demand,Jesse Jenkins,Princeton (ZERO Lab),Net-Zero America study (2021),Focus on how large loads interact with clean energy transition,High,,To Read,,,
Academic,AI Energy Demand,Udit Gupta,Cornell,Chasing Carbon: The Elusive Environmental Footprint of Computing,Embodied carbon in AI hardware,Medium,,To Read,,,
Academic,Systems Dynamics,John Sterman,MIT Sloan,Business Dynamics (2000),Canonical SD textbook; commodity cycle models directly applicable,Critical,,To Read,,https://web.mit.edu/jsterman/www/Business_Dynamics.html,
Academic,Systems Dynamics,Andrew Ford,Washington State U,Modeling the Environment,SD applied to energy systems; capacity expansion cycles,High,,To Read,,,
Academic,Systems Dynamics,Deepak Rajagopal,UCLA,Indirect effects of energy policy,Relevant for modeling crowding-out feedback loops,High,,To Read,,,
Academic,Commodity Market,Martin Stuermer,Fed Dallas,Industrialization and the Demand for Mineral Commodities,Long-run commodity demand during tech transitions,High,,To Read,,,
Academic,Commodity Market,Lukas Boer / IMF,IMF,Energy Transition Metals (2021),Propagation of technology-driven demand shocks,High,,To Read,,,
Academic,Crowding-Out,Todd Moss,Energy for Growth Hub,Energy poverty + transformer supply risk,Africa-specific crowding-out risks,Critical,,To Read,,https://energyforgrowth.org/article/power-quality-in-donor-funded-infrastructure-projects/,research/papers/todd_moss_transformers.md
Academic,Crowding-Out,Vijaya Ramachandran,Breakthrough Inst,Energy access and industrial development,Industrial development in Africa,Medium,,To Read,,,
Academic,Crowding-Out,Morgan Bazilian,Colo School of Mines,Critical minerals and development,Ex-World Bank; energy access and minerals,High,,To Read,,,
Think Tank,Energy/Digital,IEA (George Kamiya/Tim Gould),IEA,"Electricity 2024, Energy and AI (2025)",Global benchmark for energy tracking,High,,To Read,,,
Think Tank,Grid/Transmission,LBNL (Joseph Rand),LBNL,Queued Up: Power Plants Seeking Interconnection,Definitive data on US interconnection queues,Critical,,To Read,,,
Think Tank,Infrastructure,NREL,NREL,Distribution Transformer Supply and Demand Assessment,Projected 160-260% capacity increase needed,Critical,,To Read,,https://www.nrel.gov/docs/fy24osti/88441.pdf,
Think Tank,Grid Strategy,Grid Strategies (Rob Gramlich),Grid Strategies,The Era of Flat Power Demand is Over (2023),Established the US demand-side shift,High,,To Read,,,
Think Tank,Analysis,Wood Mackenzie (Chris Seiple),Wood Mackenzie,Transformer market coverage,Lead times and supply deficit figures,High,,To Read,,,
Think Tank,Clean Tech,RMI,RMI,Clean Energy for AI,AI demand as catalyst for clean energy,Medium,,To Read,,,
Analyst,Finance,Goldman Sachs (Brian Singer),Goldman Sachs,"AI, Data Centers and Coming US Power Demand (2024)",Projected 8% of US power by 2030,High,,To Read,,,
Analyst,Finance,Sequoia Capital (David Cahn),Sequoia,AI's 00B Question,Gap between CapEx and revenue; bubble risk,High,,To Read,,,research/papers/sequoia_600b_question.md
Analyst,Finance,J.P. Morgan (Mark Strouse),J.P. Morgan,AI Infrastructure CapEx and Power Demand,Infrastructure investment cycles,Medium,,To Read,,,
Media,Journalism,Jennifer Hiller / Katherine Blunt,WSJ,Data center power demand coverage,Primary reporting on utility-DC tension,Medium,,To Read,,,
Media,Newsletter/Podcast,David Roberts,Volts,Energy/climate policy + DC demand,Expert policy and grid analysis,High,,To Read,,,
Media,Podcast,Odd Lots (Weisenthal/Alloway),Bloomberg,Episodes on AI infra + power,Macro-financial perspective on infrastructure,Medium,,To Read,,,
Policy,Regulation,FERC (Mark Christie),FERC,Grid reliability statements,Regulatory perspective on DC load threats,High,,To Read,,,
Policy,Federal,DOE (Jigar Shah),DOE LPO,Public commentary on DC energy financing,Financing the buildout,Medium,,To Read,,,
Skeptic,Economics,Daron Acemoglu,MIT,The Simple Macroeconomics of AI (2024),Argues AI GDP impact is overblown (~0.5%),High,,To Read,,,
Skeptic,History/Tech,Andrew Odlyzko,U Minnesota,Dot-com fiber overbuilding parallels,Historical comparison to telecom bubble,Critical,,To Read,,http://www.dtc.umn.edu/~odlyzko/doc/bubbles.html,
