id,priority,status,source_name,supporting_dds,analytical_claims,access_type,access_path,estimated_minutes,local_filename,notes
jlarc_rpt700,P0,pending,Virginia JLARC Report 700 — Data Center Tax Exemptions,DD-001;DD-004,D,direct_download,https://jlarc.virginia.gov — Reports → 2024 → search data center,10,data/external/jlarc_rpt700.pdf,"$437M FY2023 foregone revenue figure. Legislative audit quality. Extract: annual cost trend, methodology, net fiscal impact analysis."
blue_owl_bdc_10k,P0,pending,Blue Owl Capital BDC 10-K — Portfolio Investment Schedule,DD-001,A;B,edgar_search,"EDGAR CIK 0001655888 → latest 10-K → portfolio investment schedule. URL: https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001655888&type=10-K",15,data/external/blue_owl_bdc_portfolio.pdf,"Look for Beignet Investor LLC or related entity in the portfolio schedule. If present: principal amount, fair value, yield, investment type (debt/equity). This is the primary evidence for the SPV structure."
iurc_aep_irp,P0,pending,IURC eDocket — Indiana Michigan Power 2024 IRP (Cause 46090),DD-001;DD-002,D,browser_navigation,"https://iurcportal.in.gov → Case Search → Company: Indiana Michigan Power → filter IRP → Cause 46090",20,data/external/iurc_aep_irp_2024.pdf,"Extract: data center load forecast (GW), generation resource commitments to serve new load, gas vs. renewable mix, explicit mention of Project Rainier or large data center customers. Also search Cause 46090 for staff reports."
iurc_data_center_search,P0,pending,IURC eDocket — Data Center / Large Load keyword search,DD-001;DD-002,D,browser_navigation,"https://iurcportal.in.gov → Case Search → keyword: data center OR large load → filter by Indiana Michigan Power",15,data/external/iurc_dc_dockets.txt,"Note any cause numbers referencing data centers or large load interconnection. May surface CPCN filings for generation to serve Rainier campus."
ferc_ec_dockets,P0,pending,FERC eLibrary — EC Dockets (PE Utility Acquisitions 2015–2024),DD-004,E,browser_navigation,"https://elibrary.ferc.gov/eLibrary/search → Docket Type: EC → date range 2015–2024 → export list",30,data/external/ferc_ec_acquisitions.csv,"Count and classify fund-backed utility acquisitions. Verify or build on the Senate Budget Committee's '91 acquisitions' figure. Note: search for 'private equity' or 'fund' in the purchaser description."
good_jobs_first_amazon_in,P1,pending,Good Jobs First — Amazon Indiana Subsidy Records,DD-001,D,browser_navigation,"https://subsidytracker.goodjobsfirst.org → search Amazon + Indiana → filter property tax abatement",10,data/external/gjf_amazon_indiana.csv,"Individual deal records for Project Rainier campus. Cross-check against IEDC records. Note their advocacy posture; use data not conclusions."
good_jobs_first_amazon_va,P1,pending,Good Jobs First — Amazon Virginia Subsidy Records,DD-001;DD-004,D,browser_navigation,"https://subsidytracker.goodjobsfirst.org → search Amazon + Virginia",10,data/external/gjf_amazon_virginia.csv,"Cross-reference with JLARC Rpt700 aggregate. Bottom-up deal-level check."
mckinsey_state_of_ai_2025,P1,pending,McKinsey State of AI 2025 Annual Survey,DD-001,C,registration,"https://mckinsey.com → Insights → Artificial Intelligence → State of AI. Free with email registration.",15,data/external/mckinsey_state_ai_2025.pdf,"Retrieve exact question wording for the '80% see no bottom-line impact' claim before citing it. The question framing matters — adoption vs. financial return are different surveys. Note methodology: proprietary panel, social desirability bias."
fitch_coreweave_rating,P1,pending,Fitch/Moody's Rating Press Release — CoreWeave Debt,DD-001,B,direct_download,"https://fitchratings.com → Research → search CoreWeave. Also: https://moodys.com → Research → CoreWeave. Free press releases only (full reports paywalled).",10,data/external/coreweave_rating_pressrelease.pdf,"Extract: leverage ratios, debt structure summary, key risk factors (customer concentration, technology obsolescence). This is the primary source for neocloud stranded-asset risk argument."
ft_beignet_article,P1,pending,FT — Blue Owl / Beignet Data Center Financing Article (Oct 2024),DD-001,A;B,paywall_workaround,"Search FT.com for 'Blue Owl data center' or 'Beignet Investor LLC'. Try: (1) 3 free monthly articles if available; (2) archive.ph search for FT URL; (3) Reuters/Bloomberg confirmation of key facts.",20,data/external/ft_beignet_article.txt,"Primary reconstruction of the SPV deal structure: Meta → Beignet Investor LLC → Blue Owl Capital (80%) → Pimco bond investors → maturity 2049. Note: Meta exit option 2033. If FT unavailable, Bloomberg confirmed key facts — use Bloomberg as citation."
