key,value,unit,source_type,source_name,source_date,source_detail,url,paywalled
queue_cohort_2000_2005_pct,27,pct,report,"Rand et al. LBNL Queued Up 2025",2025-04,Table 3,https://emp.lbl.gov/queues,false
queue_cohort_2006_2010_pct,22,pct,report,"Rand et al. LBNL Queued Up 2025",2025-04,Table 3,https://emp.lbl.gov/queues,false
queue_cohort_2011_2015_pct,17,pct,report,"Rand et al. LBNL Queued Up 2025",2025-04,Table 3,https://emp.lbl.gov/queues,false
queue_cohort_2016_2020_pct,11,pct,report,"Rand et al. LBNL Queued Up 2025",2025-04,Table 3,https://emp.lbl.gov/queues,false
meta_headcount_2022,86482,count,filing,Meta 10-K FY2022,2023-02,Item 1 - Number of employees,,false
meta_headcount_2023,67317,count,filing,Meta 10-K FY2023,2024-02,Item 1 - Number of employees,,false
meta_2023_guidance_low,34,bn_usd,earnings_call,Meta Q3 2022 earnings call,2022-10,Capex guidance range,,false
meta_2023_guidance_high,39,bn_usd,earnings_call,Meta Q3 2022 earnings call,2022-10,Capex guidance range,,false
msft_fy25_initial_g,60,bn_usd,earnings_call,MSFT FY2024 Q4 earnings call,2024-07,Capex guidance,,false
msft_fy25_revised_g,80,bn_usd,earnings_call,MSFT FY2025 Q1 earnings call,2024-10,Revised capex guidance,,false
meta_2026g_low,115,bn_usd,earnings_call,Meta FY25 Q4 earnings call,2026-01,Capex guidance range,,false
meta_2026g_high,135,bn_usd,earnings_call,Meta FY25 Q4 earnings call,2026-01,Capex guidance range,,false
gcp_backlog_bn,240,bn_usd,earnings_call,Alphabet Q4 2025 earnings call,2026-02,Google Cloud contracted backlog,,false
gcp_backlog_growth_pct,55,pct,earnings_call,Alphabet Q4 2025 earnings call,2026-02,YoY backlog growth,,false
sequoia_rev_target_jun24_bn,200,bn_usd,analysis,"Sequoia Capital - David Cahn",2024-06,"AI's $200B Question",https://www.sequoiacap.com/article/ais-200b-question/,false
sequoia_rev_target_bn,600,bn_usd,analysis,"Sequoia Capital - David Cahn",2024-09,"AI's $600B Question",https://www.sequoiacap.com/article/ais-600b-question/,false
