name,affiliation,category,topics,platform,url,description,relevance_tags,paywalled,added
Arman Shehabi,Lawrence Berkeley National Laboratory,researcher,data center energy|AI power demand|efficiency,Academic,https://eta.lbl.gov/people/arman-shehabi,Lead researcher for U.S. data center energy usage reports — the primary benchmark source for AI power demand estimates.,DD-001|DD-002,false,2026-02-23
Jesse Jenkins,Princeton University / REPEAT Project,researcher,power systems|energy policy|grid modeling|clean energy,Academic,https://repeatproject.org,Runs the REPEAT project — real-time modeling of how U.S. energy policy converts to physical infrastructure and employment outcomes.,DD-002|DD-003|policy,false,2026-02-23
Ari Peskoe,Harvard Law Electricity Law Initiative,researcher,utility regulation|ratepayer costs|FERC|data center cost allocation,Academic,https://eelp.law.harvard.edu/c_author/ari-peskoe/,Author of Extracting Profits from the Public — documents how utility rate structures shift data center costs onto residential ratepayers. Core source for DD-004.,DD-004|policy,false,2026-02-23
David Autor,MIT,researcher,labor economics|automation|AI and jobs|wage inequality,Academic,https://economics.mit.edu/people/faculty/david-autor,Leading labor economist on automation and the future of work; his NBER work on AI and middle-class jobs is a primary reference for DD-003.,DD-003,false,2026-02-23
Brad Setser,Council on Foreign Relations,researcher,trade policy|capital flows|industrial policy|balance of payments,Blog,https://www.cfr.org/expert/brad-w-setser,CFR fellow tracking international capital flows and trade policy with primary source rigor — essential when analysis touches tariffs or semiconductor supply chain geography.,DD-001|policy,false,2026-02-23
David Roberts,Volts,creator,energy policy|grid|utility regulation|clean energy transition,Substack|Podcast,https://www.volts.wtf,Long-form newsletter and podcast on energy policy mechanics — goes deeper on regulatory and grid topics than almost any general-audience outlet.,DD-002|DD-004|policy,false,2026-02-23
Robinson Meyer,Heatmap News,creator,energy transition|climate policy|clean energy,Newsletter|Podcast,https://heatmap.news,Founding editor of Heatmap News; co-hosts Shift Key podcast with Jesse Jenkins — bridges accessible journalism and rigorous energy policy analysis.,DD-002|policy,false,2026-02-23
Brian Potter,Construction Physics,creator,construction|manufacturing|infrastructure|learning curves,Substack,https://www.construction-physics.com,Covers why physical things are expensive and slow to build — essential for grounding any analysis of manufacturing capacity or infrastructure timelines.,DD-002|DD-004,false,2026-02-23
Adam Tooze,Yale University / Chartbook,creator,political economy|capital flows|geopolitics|industrial policy|climate finance,Substack,https://adamtooze.substack.com,Historian turned political economist; writes about how capital flows and policy create durable path dependencies — closest analytical frame to this project.,DD-001|DD-002|policy,false,2026-02-23
Noah Smith,Noahpinion,creator,industrial policy|manufacturing|AI economics|labor markets|trade,Substack,https://www.noahpinion.blog,Former Bloomberg columnist; covers industrial policy and the physical consequences of technology investment with accessible but rigorous analysis.,DD-001|DD-003|policy,false,2026-02-23
Matt Stoller,BIG Newsletter,creator,monopoly|industrial policy|corporate power|supply chains,Substack,https://mattstoller.substack.com,Covers corporate concentration and industrial policy — useful for supply chain and market structure questions in the equipment and materials nodes.,DD-002|policy,false,2026-02-23
Lynne Kiesling,Knowledge Problem,creator,electricity markets|utility regulation|energy economics|demand response,Substack,https://knowledgeproblem.substack.com,Energy economist covering electricity market design and regulation; her Paying for Power in the Age of AI piece addresses the cost allocation question at the center of DD-004.,DD-004|policy,false,2026-02-23
Doomberg,Doomberg,creator,energy markets|commodities|finance|industrial economy,Substack,https://newsletter.doomberg.com,Anonymous Substack on energy markets and commodity economics; contrarian and rigorous on the gap between policy ambition and physical reality.,DD-001|DD-002,true,2026-02-23
Kyla Scanlon,Independent,creator,macroeconomics|financial markets|economic communication,Substack|YouTube,https://kyla.substack.com,Economics creator with 1M+ followers across platforms — exemplary model for making complex economic dynamics legible to a general audience.,DD-001,false,2026-02-23
Hannah Ritchie,Our World in Data / University of Oxford,creator,sustainability|energy|climate|data-driven analysis,Substack,https://hannahritchie.substack.com,Head of Research at Our World in Data; Substack applies data rigor to sustainability questions — strong model for evidence-based communication on energy and climate.,DD-002|dataviz,false,2026-02-23
John Burn-Murdoch,Financial Times,journalist,data journalism|data visualization|economics|demographics,FT,https://www.ft.com/john-burn-murdoch,Chief Data Reporter at the FT; one of the leading practitioners of insight-first data visualization — his approach of leading with the finding maps directly to SWD principles.,dataviz,true,2026-02-23
Carbon Brief,Carbon Brief,institution,climate science|energy policy|data journalism|visualization,Newsletter,https://www.carbonbrief.org,UK outlet specialising in data-driven climate and energy journalism; award-winning visualization of complex policy and scientific data. Free and rigorously sourced.,DD-002|policy|dataviz,false,2026-02-23
Nathan Yau,FlowingData,creator,data visualization|statistics|chart design,Blog,https://flowingdata.com,Statistician and data visualization practitioner; tutorials and commentary on making statistical data understandable — strong on chart design fundamentals.,dataviz,true,2026-02-23
